full_address,latitude,longitude
"600 Rue des Madeleines, 77100 Mareuil-lès-Meaux France",48.934926,2.874246
"56 Av. du Président John Kennedy, 60800 Crépy-en-Valois France",49.229881,2.888188
"2-4 Pl. Charles de Gaulle, 77540 Rozay-en-Brie France",48.683388,2.957143
"4 Rue de Rebais, 77169 Boissy-le-Châtel France",48.825186,3.14417
"4 Bd de la Marne, 77120 Coulommiers France",48.804265,3.091357
"3 Rue Maréchal Joffre, 77470 Trilport France",48.957783,2.945737
"5 Pl. du Marché, 77580 Crécy-la-chapelle France",48.85918,2.90743
"35 Rue du Docteur Roux, 77450 Montry France",48.886352,2.824806
"2 Pl. du Marché, 77840 Crouy-sur-Ourcq France",49.09092,3.0755
"4 Rue de la Pêcherie, 77120 Coulommiers France",48.812503,3.083268
"10 Rue des Pelletiers, 77160 La Ferté-sous-Jouarre France",48.949478,3.130178
"4 Place de l’Église, 77320 Choisy-en-Brie France",48.758816,3.219278
"85 Rue de Condé, 77260 La Ferté-sous-Jouarre France",48.945537,3.130695
"35 Rue du Bourget, 77165 Saint-Soupplets France",49.037219,2.804373
"38 Rue des Caillets, 77120 Coulommiers France",48.817297,3.091134
"69 Rue Jean Jaurès, 77440 Lizy-sur-Ourcq France",49.024682,3.022004
"1 Rue Saint-Nicolas, 77510 Rebais France",48.847628,3.231976
"60 Rue Charles de Gaulle, 77720 Mormant France",48.608933,2.89061
"34 Av. de Senlis, 60800 Crépy-en-Valois France",49.232351,2.879038
"2 Rue Jean Jaurès, 77440 Lizy-sur-Ourcq France",49.024825,3.020362
"2 Rue de la Belle Étoile, 77230 Longperrier France",49.046389,2.662412
"80 Rue du Général Leclerc, 77450 Esbly France",48.900584,2.811949
"4 Pl. de la République, 60300 Baron France",49.172116,2.733907
"23 Grande Place, 77640 Jouarre France",48.926895,3.129969
"18 Rue du Faubourg, 77260 La Ferté-sous-Jouarre France",48.948053,3.132662
"2 Pl. du Bouloi, 77320 Jouy-sur-Morin France",48.793338,3.273421
"3 Avenue Roland Moreno, 77124 Chauconin-Neufmontiers France",48.960482,2.860734
"16 Rue de la Libération, 60620 Betz France",49.156262,2.954138
"22 Rue de Meaux, 77860 Quincy-Voisins France",48.900976,2.876766
"6 Rue de la Croix Verte, 60440 Nanteuil-le-Haudouin France",49.141267,2.797762
"3 Rue du Général Leclerc, 77450 Esbly France",48.900584,2.811949
"58 Bis Rue Victor Clairet, 77910 Varreddes France",49.0045,2.928711
"331 Av. du Général de Gaulle, 77120 Mouroux France",48.826948,3.034279
"14 Bd des Sports, 77700 Bailly-Romainvilliers France",48.849982,2.81965
"53 Rue nationale, 60800 Crépy-en-Valois France",49.236792,2.887742
"7 Rue Margueritte Perey, 77610 Fontenay-Trésigny France",48.704969,2.87494
"9 Pl. Alphonse Vion, 77515 Pommeuse France",48.806217,3.020071
"168 Rue du Général de Gaulle, 77230 Dammartin-en-Goële France",49.051627,2.671449
"1 Pl. de l'Église Saint-Denis, 77320 Beton-Bazoches France",48.701927,3.24437
"1 Rue de la République, 77122 Monthyon France",49.009659,2.83118
"26 Rue Couperin, 77390 Chaumes-en-Brie France",48.665215,2.841935
"4 Pl. de l'Île de France, 77120 Coulommiers France",48.80619,3.078466
"58 Rue Fbg Saint-Nicolas, 77100 Meaux France",48.958136,2.884664
"8 Rue Marcel Sembat, 77390 Verneuil-l'Étang France",48.64315,2.836202
"40 Rue de la Clef des Champs, 77700 Magny-le-Hongre France",48.857475,2.813455
"32 Rue Paul Valentin, 77410 Annet-sur-Marne France",48.926018,2.71975
"2 bis Rue des Hortensias, 77160 Chenoise-Cucharmoy France",48.616327,3.197391
"33 Rue d'Esbly, 77700 Coupvray France",48.894811,2.794229
"29-31 Rue de Paris, 77320 La Ferté-Gaucher France",48.780843,3.304961
"2 All. de la Poste, 77178 Saint-Pathus France",49.070511,2.802061
"22 Bis rue du Général de Gaulle, 77700 Chessy France",48.880415,2.762341
"Centre commercial La Verrière 4 passage Pierre Brossolette, 77100 Meaux France",48.952566,2.912655
"5 Rue de la Couture, 77510 Villeneuve-sur-Bellot France",48.861924,3.341367
"4 Avenue du Parc, 77124 Villenoy France",48.94406,2.864255
"46 Rue du Plessis, 77178 Saint-Pathus France",49.07753,2.783077
"6 Rue de la Source, 77230 Juilly France",49.014653,2.708968
"99 Rue Bertaux, 77610 Fontenay-Trésigny France",48.711638,2.856476
"9 Rue de Paris, 77220 Tournan-en-Brie France",48.740117,2.764887
"31 Rue de Troyes, 77390 Guignes France",48.630919,2.80994
"9 Rue Guillaume Briçonnet, 77100 Meaux France",48.94793,2.895375
"36 Rue de la Libération, 60620 Acy-en-Multien France",49.102413,2.954541
"19/21 Rue Beaurepaire, 77120 Coulommiers France",48.813526,3.083797
"26 Rue de Paris, 77220 Gretz-Armainvilliers France",48.739193,2.743775
"6 Rue Charles de Gaulle, 60800 Crépy-en-Valois France",49.234527,2.887277
"17 Allée Jean Louis Barrault, 77100 Meaux France",48.952374,2.912741
"30 mail Grande Haie, 77100 Mareuil lès Meaux France",48.93615,2.876124
"18 Rue du Général de Gaulle, 77174 Villeneuve-le-Comte France",48.813409,2.829504
"9 Rue du Marché, 77580 Crécy-la-chapelle France",48.858156,2.907247
"14 Rue de Meaux, 77515 Saint-Augustin France",48.793845,3.023811
"8 Pl. Marius Haussy, 60890 Mareuil-sur-Ourcq France",49.137808,3.077449
"20 Rue de Paris, 77860 Saint-Germain-sur-Morin France",48.881874,2.850669
"56 Av. de Verdun, 77470 Trilport France",48.957707,2.951751
"60 Rue Jean Jaurès, 77410 Claye-Souilly France",48.945258,2.686254
"44 Av. Pasteur, 77410 Claye-Souilly France",48.940741,2.6794
"1 Pl. de l'Hôtel de ville, 77260 La Ferté-sous-Jouarre France",48.95022,3.129599
"2 Rue du Vert Buisson, 60330 Le Plessis-Belleville France",49.092782,2.754047
"26 Grande Rue, 77580 Guérard France",48.820937,2.958824
"6 Bd des Sports, 77700 Bailly-Romainvilliers France",48.849982,2.81965
"15 bis Rue Raymond Poincaré, 77660 Saint-Jean-les-Deux-Jumeaux France",48.950984,3.021592
"24 Av. de la Fontaine du Berger, 77230 Saint-Mard France",49.038466,2.683187
"54 Bd Victor Hugo, 77220 Gretz-Armainvilliers France",48.738947,2.720003
"85 Grande Rue, 77135 Pontcarré France",48.796652,2.705915
"5 place Révolution, 77680 Roissy en Brie France",48.793373,2.653159
"8 Rue Georges Faroy, 77515 Faremoutiers France",48.801006,2.985533
"Rue Gérard de Nerval, 77280 Othis France",49.072507,2.676166
"Avenue Fridingen, 77100 Nanteuil-lès-Meaux France",48.936769,2.883447
